date,fish_type,origin,gender,weight,size,catch_release,position_number,fly_or_spinner,bait,bait_size,extra_1,extra_2,position_name,position
2013-08-30,Lax,,Hrygna,3.6,70.0,,65,Fluga,Svört Snælda,1/2,Settur í klak,,Mógilsbreiða,Svæði 4
2013-08-29,Urriði,,Óþekkt,0.5,33.0,,65,Fluga,frances rauð,,,,Mógilsbreiða,Svæði 4
2013-08-29,Urriði,,Óþekkt,0.2,25.0,,65,Fluga,Frances túba,1/4 tomma,,,Mógilsbreiða,Svæði 4
2013-08-23,Lax,,Hængur,8.7,95.0,,65,Fluga,rauð frances,"1/2""",KLAK,,Mógilsbreiða,Svæði 4
2013-08-02,Urriði,,Óþekkt,0.5,32.0,X,65,Fluga,Finski fjöldamorðinginn,,,,Mógilsbreiða,Svæði 4
2013-07-31,Urriði,,Óþekkt,0.6,35.0,,65,Spónn,,,,,Mógilsbreiða,Svæði 4
2013-07-30,Urriði,,Óþekkt,0.5,33.0,,65,Spónn,toby,,,,Mógilsbreiða,Svæði 4
2013-07-30,Urriði,,Óþekkt,0.5,33.0,,65,Spónn,toby,,,,Mógilsbreiða,Svæði 4
2013-07-10,Urriði,Staðb.,Hængur,0.5,33.0,,65,Spónn,Toby,20 gr.,,,Mógilsbreiða,Svæði 4
2015-08-10,Bleikja,,Hrygna,1.3,48.0,,65,Fluga,Krókur,,,,Mógilsbreiða,Svæði 4
2015-08-04,Bleikja,,Hængur,1.5,47.0,,65,Fluga,Krókurinn,,,,Mógilsbreiða,Svæði 4
2015-08-02,Bleikja,,Óþekkt,1.5,42.0,,65,Spónn,,,,,Mógilsbreiða,Svæði 4
2016-07-10,Urriði,Staðb.,Óþekkt,1.0,42.0,,65,Fluga,Sunray,,,,Mógilsbreiða,Svæði 4
2017-07-24,Urriði,Staðb.,Hængur,0.4,30.0,,65,Spónn,lippa,14 gr.,,,Mógilsbreiða,Svæði 4
2018-08-08,Lax,Sjóg.,Hrygna,1.5,48.0,,65,Spónn,Toby,,,,Mógilsbreiða,Svæði 4
2018-08-04,Bleikja,Óþekkt,Óþekkt,1.0,40.0,,65,Spónn,,,,,Mógilsbreiða,Svæði 4
2018-08-04,Lax,Óþekkt,Hængur,2.0,56.0,,65,Spónn,Toby,18,,,Mógilsbreiða,Svæði 4
2018-08-04,Lax,Óþekkt,Hængur,8.0,86.0,X,65,Spónn,Toby,18,Sleppt,,Mógilsbreiða,Svæði 4
2019-09-05,Bleikja,Óþekkt,Óþekkt,1.5,45.0,,65,Fluga,,,,,Mógilsbreiða,Svæði 4
2019-09-05,Bleikja,Óþekkt,Óþekkt,3.0,45.0,,65,Fluga,,,,,Mógilsbreiða,Svæði 4
2019-09-05,Lax,Sjóg.,Hængur,2.6,62.0,,65,Fluga,Sunray,1/2,,,Mógilsbreiða,Svæði 4
2019-08-31,Lax,Óþekkt,Hrygna,5.0,78.0,X,65,Fluga,francis rauð,,,,Mógilsbreiða,Svæði 4
2019-08-07,Bleikja,Óþekkt,Óþekkt,1.2,43.0,,65,Fluga,,,,,Mógilsbreiða,Svæði 4
2020-09-17,Lax,Sjóg.,Hængur,1.8,55.0,X,65,Fluga,R. Frances míkrókeila,,,,Mógilsbreiða,Svæði 4
2020-09-14,Lax,Óþekkt,Hrygna,5.0,78.0,X,65,Fluga,Sv. Frances,12,,,Mógilsbreiða,Svæði 4
2020-09-12,Lax,Sjóg.,Hængur,2.5,61.0,,65,Fluga,SF cone,1/4,,,Mógilsbreiða,Svæði 4
2020-09-11,Bleikja,Sjóg.,Óþekkt,1.0,40.0,,65,Fluga,Allys shrimp,,,,Mógilsbreiða,Svæði 4
2020-09-09,Lax,Óþekkt,Hængur,1.7,53.0,X,65,Fluga,Frances,,,,Mógilsbreiða,Svæði 4
2020-09-06,Bleikja,Óþekkt,Óþekkt,1.0,40.0,X,65,Fluga,Francis R,,,,Mógilsbreiða,Svæði 4
2020-08-26,Bleikja,Sjóg.,Óþekkt,1.1,42.0,,65,Fluga,Rauður fr,14,,,Mógilsbreiða,Svæði 4
2020-08-23,Lax,Sjóg.,Hrygna,2.5,61.0,X,65,Fluga,Frances Rauð,10,,,Mógilsbreiða,Svæði 4
2021-09-03,Lax,Sjóg.,Hængur,2.0,57.0,,65,Fluga,Rauð Frances,,,,Mógilsbreiða,Svæði 4
2021-08-27,Urriði,Óþekkt,Hængur,1.8,51.0,,65,Fluga,,,,,Mógilsbreiða,Svæði 4
2010-09-19,Lax,,Hængur,2.5,64.0,,33,Fluga,Sunray,14,Hreistursýni,,Ferjupollur,Svæði 2
2010-09-19,Lax,,Hængur,2.5,61.0,,33,Fluga,Sunray keila,,,,Ferjupollur,Svæði 2
2010-09-18,Lax,,Hængur,3.6,70.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-18,Lax,,Hrygna,3.0,65.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-18,Lax,,Hængur,8.4,94.0,X,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-15,Lax,,Hængur,2.5,61.0,,33,Fluga,Frances,"1/2""",,,Ferjupollur,Svæði 2
2010-09-15,Lax,,Hængur,3.2,67.0,,33,Fluga,Black and blue,10,,,Ferjupollur,Svæði 2
2010-09-14,Lax,,Hrygna,3.0,66.0,X,33,Fluga,Sunray shadow,,Sleppt,,Ferjupollur,Svæði 2
2010-09-14,Lax,,Hængur,2.5,61.0,X,33,Fluga,Sunray shadow,,Sleppt,,Ferjupollur,Svæði 2
2010-09-14,Lax,,Hængur,2.2,59.0,X,33,Fluga,Skröggur,"1/2""",,,Ferjupollur,Svæði 2
2010-09-14,Lax,,Hængur,4.0,73.0,,33,Fluga,Sunray shadow,,Drepinn,,Ferjupollur,Svæði 2
2010-09-13,Lax,,Hrygna,3.0,65.0,,33,Fluga,Rauð frances,10,,,Ferjupollur,Svæði 2
2010-09-13,Lax,,Hængur,3.6,70.0,X,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-13,Lax,,Hrygna,2.8,64.0,X,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-13,Lax,,Hrygna,2.4,60.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-13,Lax,,Hængur,3.0,65.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-13,Lax,,Hrygna,2.6,62.0,,33,Fluga,Snælda,12,,,Ferjupollur,Svæði 2
2010-09-13,Lax,,Hængur,3.8,71.0,,33,Fluga,Flæðarmús,6,,,Ferjupollur,Svæði 2
2010-09-13,Lax,,Hængur,3.4,68.0,,33,Fluga,Sunray keila,,,,Ferjupollur,Svæði 2
2010-09-12,Lax,,Hrygna,2.7,63.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-12,Lax,,Hrygna,2.0,57.0,,33,Fluga,Rauður frances micro,,,,Ferjupollur,Svæði 2
2010-09-12,Lax,,Hrygna,2.0,57.0,,33,Fluga,Rauð frances micro,,,,Ferjupollur,Svæði 2
2010-09-11,Lax,,Hængur,2.5,62.0,,33,Fluga,Rauð frances keila,"1/2""",,,Ferjupollur,Svæði 2
2010-09-11,Lax,,Hængur,8.7,95.0,X,33,Fluga,Rauð frances keila,"1/2""",Sleppt,,Ferjupollur,Svæði 2
2010-09-10,Lax,,Hængur,2.1,58.0,,33,Fluga,Dómhildur,12,,,Ferjupollur,Svæði 2
2010-09-10,Lax,,Hængur,2.0,57.0,,33,Fluga,Black ghost,10,,,Ferjupollur,Svæði 2
2010-09-10,Lax,,Hrygna,6.0,83.0,,33,Fluga,Rækja túpa,"1""",,,Ferjupollur,Svæði 2
2010-09-10,Lax,,Hrygna,2.4,60.0,,33,Fluga,Sunray hitch,"1/2""",,,Ferjupollur,Svæði 2
2010-09-10,Lax,,Hrygna,2.4,60.0,,33,Fluga,Þýsk snælda,"1/2""",,,Ferjupollur,Svæði 2
2010-09-09,Lax,,Hængur,4.0,72.0,,33,Fluga,Black and blue,,,,Ferjupollur,Svæði 2
2010-09-09,Lax,,Hrygna,2.0,60.0,,33,Fluga,Black and blue,14,,,Ferjupollur,Svæði 2
2010-09-09,Lax,,Hrygna,6.5,83.0,,33,Fluga,Sunray,"1""",Maríulax,,Ferjupollur,Svæði 2
2010-09-07,Lax,,Hrygna,2.0,60.0,,33,Fluga,Frances rauð,"1/4""",,,Ferjupollur,Svæði 2
2010-09-07,Lax,,Hængur,2.5,60.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-07,Lax,,Hængur,2.0,60.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-07,Lax,,Hængur,2.0,60.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-09-05,Lax,,Hrygna,4.1,73.0,X,33,Fluga,,,,,Ferjupollur,Svæði 2
2010-09-04,Lax,,Hængur,2.5,61.0,X,33,Fluga,Rauður frances,,Uggaskemmdur Lús,,Ferjupollur,Svæði 2
2010-09-04,Lax,,Hængur,2.5,61.0,,33,Fluga,Collie dog,,Uggaskemmdur Lús,,Ferjupollur,Svæði 2
2010-09-04,Lax,,Hrygna,2.0,57.0,X,33,Fluga,Collie dog,,,,Ferjupollur,Svæði 2
2010-09-04,Lax,,Hængur,2.5,61.0,,33,Fluga,Þingeyingur,,,,Ferjupollur,Svæði 2
2010-09-03,Lax,,Hængur,2.5,61.0,X,33,Fluga,Collie dog,,Uggaskemmdur Lús,,Ferjupollur,Svæði 2
2010-08-31,Lax,,Hrygna,2.0,57.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-08-31,Lax,,Hængur,2.5,61.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-08-31,Lax,,Hrygna,3.0,65.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-08-30,Lax,,Hængur,6.0,80.0,,33,Fluga,Rauð frances,8,,,Ferjupollur,Svæði 2
2010-08-29,Lax,,Hængur,3.5,69.0,,33,Fluga,Snælda,,,,Ferjupollur,Svæði 2
2010-08-29,Lax,,Hængur,2.5,61.0,,33,Fluga,Hairy mary,,Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-28,Lax,,Hrygna,2.1,58.0,,33,Fluga,Black sheep túpa,"1""",,,Ferjupollur,Svæði 2
2010-08-28,Lax,,Hrygna,4.8,77.0,X,33,Fluga,Black sheep túpa,"1""",,,Ferjupollur,Svæði 2
2010-08-27,Lax,,Hængur,3.0,64.0,,33,Fluga,Collie dog,,Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-27,Lax,,Hrygna,2.8,64.0,,33,Fluga,Rauð frances,10,,,Ferjupollur,Svæði 2
2010-08-26,Lax,,Hrygna,2.2,59.0,X,33,Fluga,Sunray gulur,,,,Ferjupollur,Svæði 2
2010-08-26,Lax,,Hængur,2.2,59.0,X,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2010-08-26,Lax,,Hængur,2.0,57.0,X,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2010-08-26,Lax,,Hængur,3.1,66.0,,33,Fluga,Svört snælda,"1""",,,Ferjupollur,Svæði 2
2010-08-26,Lax,,Hængur,2.4,60.0,X,33,Fluga,Rauð frances keila,,,,Ferjupollur,Svæði 2
2010-08-26,Lax,,Hrygna,2.6,62.0,X,33,Fluga,Black sheep,,,,Ferjupollur,Svæði 2
2010-08-26,Lax,,Hængur,3.0,65.0,,33,Fluga,Monky fly,,,,Ferjupollur,Svæði 2
2010-08-26,Lax,,Hrygna,2.7,63.0,X,33,Fluga,Frances,10,,,Ferjupollur,Svæði 2
2010-08-25,Lax,,Hængur,2.8,64.0,X,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2010-08-24,Lax,,Hængur,3.5,69.0,X,33,Fluga,Collie dog,,,,Ferjupollur,Svæði 2
2010-08-24,Lax,,Hrygna,2.5,61.0,X,33,Fluga,Collie dog,,Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-23,Lax,,Hrygna,3.6,70.0,X,33,Fluga,Ally Shrimp,,,,Ferjupollur,Svæði 2
2010-08-23,Lax,,Hængur,2.8,64.0,X,33,Fluga,Snælda,,,,Ferjupollur,Svæði 2
2010-08-23,Lax,,Hængur,2.8,64.0,X,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2010-08-22,Lax,,Hængur,3.1,66.0,X,33,Fluga,Rauð frances,,,,Ferjupollur,Svæði 2
2010-08-21,Lax,,Hængur,2.5,59.0,,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2010-08-21,Lax,,Hrygna,2.8,64.0,X,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2010-08-20,Lax,,Hængur,2.8,64.0,X,33,Fluga,Svört snælda,,Merki IS1000886,,Ferjupollur,Svæði 2
2010-08-20,Lax,,Hrygna,2.8,64.0,X,33,Fluga,Svört snælda,,Merki IS1000885 / Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-20,Lax,,Hængur,2.8,64.0,X,33,Fluga,Svört snælda,,Merki IS1000884 / Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-20,Lax,,Hængur,2.0,57.0,X,33,Fluga,Svört snælda,,Merki IS1000883 / Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-20,Lax,,Hrygna,3.5,69.0,X,33,Fluga,Svört snælda,,Merki IS1000881 / Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-20,Lax,,Hængur,2.0,57.0,X,33,Fluga,Svört snælda,,Merki IS1000882 / Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-19,Lax,,Hrygna,2.5,62.0,,33,Fluga,Sunray shadow,"1""",,,Ferjupollur,Svæði 2
2010-08-18,Lax,,Hrygna,2.8,64.0,X,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2010-08-18,Lax,,Hrygna,3.2,67.0,,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2010-08-18,Lax,,Hængur,2.8,64.0,X,33,Fluga,Cascade,10,,,Ferjupollur,Svæði 2
2010-08-17,Lax,,Hrygna,2.8,64.0,X,33,Fluga,Rauð frances,10,,,Ferjupollur,Svæði 2
2010-08-17,Lax,,Hængur,3.1,69.0,,33,Fluga,Haugur hitch,14,,,Ferjupollur,Svæði 2
2010-08-17,Lax,,Hrygna,2.1,60.0,,33,Fluga,Rauður frances,12,,,Ferjupollur,Svæði 2
2010-08-16,Lax,,Hrygna,2.0,57.0,,33,Fluga,Sunray,8,,,Ferjupollur,Svæði 2
2010-08-15,Lax,,Hængur,2.0,57.0,,33,Fluga,Hitch,,Merki IS1000879,,Ferjupollur,Svæði 2
2010-08-14,Lax,,Hængur,3.8,71.0,,33,Fluga,Hitch blá/svört,14,Lúsugur,,Ferjupollur,Svæði 2
2010-08-14,Lax,,Hængur,3.0,65.0,,33,Fluga,Hitch,14,Lúsugur,,Ferjupollur,Svæði 2
2010-08-14,Lax,,Hrygna,5.9,83.0,,33,Fluga,Hairy mary,14,Klak,,Ferjupollur,Svæði 2
2010-08-13,Lax,,Hængur,2.4,60.0,,33,Fluga,Víkingur,6,,,Ferjupollur,Svæði 2
2010-08-11,Lax,,Hængur,1.9,59.0,,33,Fluga,Svört frances,,Lúsugur,,Ferjupollur,Svæði 2
2010-08-11,Lax,,Hrygna,5.0,77.0,,33,Fluga,Snælda rauð,"1/2""",,,Ferjupollur,Svæði 2
2010-08-10,Lax,,Hrygna,5.0,78.0,,33,Spónn,Toby,,Lúsugur,,Ferjupollur,Svæði 2
2010-08-10,Lax,,Hængur,2.8,66.0,,33,Fluga,Frances,14,,,Ferjupollur,Svæði 2
2010-08-10,Lax,,Hængur,2.7,64.0,,33,Spónn,Toby,,,,Ferjupollur,Svæði 2
2010-08-10,Lax,,Hængur,2.0,60.0,,33,Spónn,Toby blár,,,,Ferjupollur,Svæði 2
2010-08-09,Lax,,Hængur,3.0,65.0,,33,Spónn,Toby,,Bakuggi skemmdur,,Ferjupollur,Svæði 2
2010-08-09,Lax,,Hængur,2.5,61.0,,33,Fluga,Sunray shadow,"1""",Bakuggi skemmdur,,Ferjupollur,Svæði 2
2010-08-09,Lax,,Hrygna,1.9,56.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-08-09,Lax,,Hængur,2.5,61.0,,33,Fluga,Rauður frances,,,,Ferjupollur,Svæði 2
2010-08-07,Lax,,Hrygna,3.0,65.0,,33,Maðkur,,,,,Ferjupollur,Svæði 2
2010-08-07,Lax,,Hængur,2.4,65.0,,33,Spónn,,,,,Ferjupollur,Svæði 2
2010-08-07,Lax,,Hængur,6.0,83.0,,33,Maðkur,,,,,Ferjupollur,Svæði 2
2010-08-05,Lax,,Hængur,6.5,81.0,,33,Maðkur,,,,,Ferjupollur,Svæði 2
2010-08-05,Lax,,Hængur,2.5,60.0,,33,Fluga,Snælda,,,,Ferjupollur,Svæði 2
2010-08-05,Lax,,Hængur,2.0,56.0,,33,Fluga,Snælda,,,,Ferjupollur,Svæði 2
2010-08-04,Lax,,Hrygna,2.4,55.0,,33,Fluga,Frances þríkrækja,,,,Ferjupollur,Svæði 2
2010-08-04,Lax,,Hængur,2.0,53.0,,33,Fluga,Surnay shadow,,Lúsugur,,Ferjupollur,Svæði 2
2010-08-04,Lax,,Hrygna,1.7,51.0,,33,Fluga,Surnay shadow,,Lúsugur,,Ferjupollur,Svæði 2
2010-08-03,Lax,,Hrygna,5.5,83.0,,33,Spónn,Toby,,,,Ferjupollur,Svæði 2
2010-08-02,Lax,,Hængur,2.0,57.0,,33,Fluga,Rauð frances,,Uggaskemmdur,,Ferjupollur,Svæði 2
2010-08-01,Lax,,Hrygna,5.0,80.0,,33,Fluga,Sv. frances cone,,,,Ferjupollur,Svæði 2
2010-08-01,Lax,,Hrygna,2.5,61.0,,33,Fluga,Hitch,,,,Ferjupollur,Svæði 2
2010-07-31,Lax,,Hrygna,6.0,83.0,,33,Fluga,R. Frances cone,,,,Ferjupollur,Svæði 2
2010-07-31,Lax,,Hængur,2.0,61.0,,33,Devon,Devon,,,,Ferjupollur,Svæði 2
2010-07-30,Lax,,Hængur,2.5,61.0,,33,Fluga,Rauð frances,,,,Ferjupollur,Svæði 2
2010-07-30,Lax,,Hængur,2.5,62.0,,33,Fluga,Frances,,,,Ferjupollur,Svæði 2
2010-07-30,Lax,,Hrygna,2.4,61.0,,33,Fluga,Frances,,,,Ferjupollur,Svæði 2
2010-07-29,Lax,,Hrygna,4.5,75.0,,33,Spónn,Toby,,,,Ferjupollur,Svæði 2
2010-07-28,Lax,,Hængur,5.5,78.0,,33,Spónn,Toby svartur,,,,Ferjupollur,Svæði 2
2010-07-27,Lax,,Óþekkt,5.3,80.0,,33,Fluga,Rauð frances,,Hreistursýni,,Ferjupollur,Svæði 2
2010-07-26,Lax,,Hængur,2.5,61.0,,33,Fluga,Rauð frances,,,,Ferjupollur,Svæði 2
2010-07-24,Lax,,Hrygna,6.0,84.0,,33,Fluga,Sunray gulur,,,,Ferjupollur,Svæði 2
2010-07-24,Lax,,Hængur,6.1,84.0,X,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-07-24,Lax,,Hrygna,5.3,80.0,X,33,Fluga,Magdalena,,,,Ferjupollur,Svæði 2
2010-07-20,Lax,,Hængur,2.6,62.0,,33,Fluga,Snælda,,,,Ferjupollur,Svæði 2
2010-07-15,Lax,,Hrygna,4.0,75.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2010-07-12,Lax,,,5.0,78.0,,33,Fluga,,,,,Ferjupollur,Svæði 2
2010-07-12,Lax,,,6.5,84.0,,33,Spónn,Spúnn,,,,Ferjupollur,Svæði 2
2010-06-30,Lax,,Hrygna,5.5,81.0,,33,Fluga,Snælda,,,,Ferjupollur,Svæði 2
2011-09-18,Lax,,Hængur,5.5,81.0,,33,Spónn,Toby,,Klak,,Ferjupollur,Svæði 2
2011-09-18,Lax,,Hængur,5.1,79.0,,33,Spónn,Toby,,Klak,,Ferjupollur,Svæði 2
2011-09-18,Lax,,Hrygna,2.8,64.0,,33,Fluga,Snælda Svört,,Klak,,Ferjupollur,Svæði 2
2011-09-18,Lax,,Hængur,2.4,60.0,X,33,Fluga,Snælda Svört,,,,Ferjupollur,Svæði 2
2011-09-08,Lax,,Hængur,3.0,68.0,,33,,Frances,,,,Ferjupollur,Svæði 2
2011-09-06,Lax,,Hængur,6.5,86.0,,33,Fluga,Sunray shadow,,,,Ferjupollur,Svæði 2
2011-09-05,Lax,,Hængur,4.0,72.0,,33,Fluga,Rauð frances,8,,,Ferjupollur,Svæði 2
2011-09-04,Lax,,Hrygna,4.1,73.0,,33,Fluga,Rauð frances,14,,,Ferjupollur,Svæði 2
2011-09-02,Lax,,Hængur,6.0,84.0,X,33,Fluga,Rauð frances,16,,,Ferjupollur,Svæði 2
2011-09-01,Lax,,Hængur,2.4,60.0,,33,Fluga,Rauð frances,,,,Ferjupollur,Svæði 2
2011-09-01,Lax,,Hængur,3.4,68.0,,33,Fluga,Rauð frances,,,,Ferjupollur,Svæði 2
2011-08-31,Lax,,Hrygna,3.0,65.0,,33,Fluga,Rauð frances,"1/4""",,,Ferjupollur,Svæði 2
2011-08-30,Lax,,Hængur,2.5,62.0,,33,Fluga,Kolskeggur,"1""",,,Ferjupollur,Svæði 2
2011-08-28,Lax,,Hrygna,4.3,75.0,,33,Fluga,Rauð frances,,Keila,,Ferjupollur,Svæði 2
2011-08-28,Lax,,Hængur,2.7,62.0,,33,Fluga,Rauð frances,"1/2""",IS102860,,Ferjupollur,Svæði 2
2011-08-28,Lax,,,3.4,68.0,,33,Fluga,Sunrau Shadow,,,,Ferjupollur,Svæði 2
2011-08-26,Lax,,Hængur,2.5,61.0,,33,,,,,,Ferjupollur,Svæði 2
2011-08-21,Lax,,Hængur,8.5,93.0,,33,Fluga,Sunrau Shadow,,,,Ferjupollur,Svæði 2
2011-08-21,Lax,,Hrygna,2.8,62.0,,33,Fluga,Rauð Frances,,,,Ferjupollur,Svæði 2
2011-08-20,Lax,,Hrygna,6.1,84.0,,33,Fluga,Kolskeggur,"1""",,,Ferjupollur,Svæði 2
2011-08-17,Lax,,Hrygna,5.0,81.0,,33,Fluga,Sunray,"1/2""",,,Ferjupollur,Svæði 2
2011-08-15,Lax,,Hængur,3.1,68.0,,33,Fluga,Svört Frances,"1""",,,Ferjupollur,Svæði 2
2011-08-14,Lax,,Hængur,7.4,90.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2011-08-11,Lax,,Óþekkt,1.5,51.0,,33,Fluga,Frances keila,"1/2""",,,Ferjupollur,Svæði 2
2011-08-10,Lax,,Hrygna,7.1,75.0,,33,Fluga,Kolskeggur,"1/2""",,,Ferjupollur,Svæði 2
2011-08-09,Lax,,Hængur,2.5,61.0,,33,Fluga,Sunrau Shadow,,,,Ferjupollur,Svæði 2
2011-08-06,Lax,,Hængur,3.2,69.0,,33,Fluga,Allies Shrimp,,,,Ferjupollur,Svæði 2
2011-08-06,Lax,,Hængur,3.0,65.0,,33,Fluga,Gander,"1""",,,Ferjupollur,Svæði 2
2011-07-31,Lax,,Hrygna,6.5,86.0,,33,Fluga,Sunray,,Klak,,Ferjupollur,Svæði 2
2011-07-30,Lax,,Óþekkt,2.6,62.0,,33,Fluga,Rauð Frances,,,,Ferjupollur,Svæði 2
2011-07-29,Lax,,Hrygna,2.0,51.0,X,33,Fluga,Skröggur,,,,Ferjupollur,Svæði 2
2011-07-28,Lax,,Hrygna,4.1,74.0,,33,Fluga,Rauð Frances,,,,Ferjupollur,Svæði 2
2011-07-27,Lax,,Hængur,1.6,52.0,,33,Maðkur,,,,,Ferjupollur,Svæði 2
2011-07-27,Lax,,Hængur,2.2,59.0,,33,Fluga,Sunray,,,,Ferjupollur,Svæði 2
2011-07-13,Lax,,Hrygna,6.0,85.0,,33,Spónn,,,,,Ferjupollur,Svæði 2
2011-07-12,Lax,,Hrygna,4.0,75.0,,33,Spónn,Toby,,,,Ferjupollur,Svæði 2
2012-09-01,Lax,,Hængur,3.5,69.0,,33,Fluga,Rauð frances,"1""",Klak,,Ferjupollur,Svæði 2
2012-08-31,Lax,,Hrygna,5.5,80.0,,33,Fluga,Svört frances,"1""",,,Ferjupollur,Svæði 2
2012-08-17,Lax,,Hrygna,5.7,82.0,,33,Fluga,Sunray,"2""",,,Ferjupollur,Svæði 2
2012-08-08,Lax,,Hrygna,4.1,73.0,,33,Spónn,Svartur Toby,,,,Ferjupollur,Svæði 2
2012-08-05,Lax,,Hrygna,2.5,61.0,X,33,Fluga,,,,,Ferjupollur,Svæði 2
2012-07-19,Lax,,Hængur,4.2,73.0,,33,Fluga,Rauð frances,,,,Ferjupollur,Svæði 2
